fov,fov_x,fov_y,pixel_size
FOV_001,586.2239393939392,2435.188787878788,0.109
FOV_002,1186.2239393939392,2435.188787878788,0.109
FOV_003,1386.2239393939392,-364.81121212121207,0.109
FOV_004,-213.7760606060608,2035.188787878788,0.109
FOV_005,3986.2239393939385,-164.81121212121212,0.109
FOV_006,1586.2239393939392,435.18878787878793,0.109
FOV_007,-1813.7760606060608,1435.188787878788,0.109
FOV_008,-613.7760606060608,1235.188787878788,0.109
FOV_009,-2413.7760606060606,635.1887878787879,0.109
FOV_010,2786.223939393939,635.1887878787879,0.109
FOV_011,-13.776060606060808,2235.188787878788,0.109
FOV_012,1986.2239393939392,2035.188787878788,0.109
FOV_013,1586.2239393939392,1035.188787878788,0.109
FOV_014,-813.7760606060608,635.1887878787879,0.109
FOV_015,-1413.7760606060608,-564.8112121212121,0.109
FOV_016,1986.2239393939392,-1964.811212121212,0.109
FOV_017,986.2239393939392,2435.188787878788,0.109
FOV_018,-13.776060606060808,-1764.811212121212,0.109
FOV_019,5586.223939393938,-564.8112121212121,0.109
FOV_020,-1413.7760606060608,1835.188787878788,0.109
FOV_021,2786.223939393939,-364.81121212121207,0.109
FOV_022,1586.2239393939392,-564.8112121212121,0.109
FOV_023,4986.223939393938,-164.81121212121212,0.109
FOV_024,-613.7760606060608,-964.811212121212,0.109
FOV_025,386.2239393939392,2235.188787878788,0.109
FOV_026,4386.223939393938,-1364.811212121212,0.109
FOV_027,-813.7760606060608,-1364.811212121212,0.109
FOV_028,-1613.7760606060608,-164.81121212121212,0.109
FOV_029,4386.223939393938,-1164.811212121212,0.109
FOV_030,-1613.7760606060608,-964.811212121212,0.109
FOV_031,186.2239393939392,2235.188787878788,0.109
FOV_032,-1213.7760606060608,-764.811212121212,0.109
FOV_033,1786.2239393939392,2235.188787878788,0.109
FOV_034,386.2239393939392,2435.188787878788,0.109
FOV_035,786.2239393939392,2435.188787878788,0.109
FOV_036,586.2239393939392,-1964.811212121212,0.109
FOV_037,2586.223939393939,-1764.811212121212,0.109
FOV_038,1386.2239393939392,435.18878787878793,0.109
FOV_039,-613.7760606060608,435.18878787878793,0.109
FOV_040,-2013.7760606060608,-564.8112121212121,0.109
FOV_A,-1013.7760606060608,-764.811212121212,0.109
FOV_B,-1813.7760606060608,35.18878787878788,0.109
FOV_C,-1813.7760606060608,-164.81121212121212,0.109
FOV_D,-2013.7760606060608,235.18878787878788,0.109
