readoutName,channelName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
RS0015,,Epi-750s5-635s5-545s1-473s5-408s5,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),1,-1,650,[ 4  9 14 19 24],[1.5 3.  4.5 6.  7.5],Epi-750s5-635s5-545s1-473s5-408s5,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,1,545
RS0083,,Epi-750s5-635s5-545s1-473s5-408s5,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),2,-1,750,[ 3  8 13 18 23],[1.5 3.  4.5 6.  7.5],Epi-750s5-635s5-545s1-473s5-408s5,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,1,545
RS0095,,Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,750,[ 3  6  9 12 15],[1.5 3.  4.5 6.  7.5],Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,1,545
RS0109,,Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,650,[ 4  7 10 13 16],[1.5 3.  4.5 6.  7.5],Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,1,545
RS0175,,Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,1,650,[ 4  7 10 13 16],[1.5 3.  4.5 6.  7.5],Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,1,545
RS0237,,Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,1,750,[ 3  6  9 12 15],[1.5 3.  4.5 6.  7.5],Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,1,545
RS0247,,Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,2,650,[ 4  7 10 13 16],[1.5 3.  4.5 6.  7.5],Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,1,545
RS0332,,Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,3,650,[ 4  7 10 13 16],[1.5 3.  4.5 6.  7.5],Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,1,545
RS0343,,Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,4,650,[ 4  7 10 13 16],[1.5 3.  4.5 6.  7.5],Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,1,545
RS0384,,Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,4,750,[ 3  6  9 12 15],[1.5 3.  4.5 6.  7.5],Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,1,545
RS0406,,Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),13,5,650,[ 4  7 10 13 16],[1.5 3.  4.5 6.  7.5],Epi-750s5-635s5-545s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,1,545
